entity,as_of,population,current_census_median,projected_peak_median,projected_peak_p90,projected_peak_per_100k,benchmark_peak,benchmark_per_100k,benchmark_usable,utilisation_median,prob_exceed_benchmark,lead_time_days,lead_time_days_p25,horizon
Bahrain,2020-10-25,1472237.0,33.85407961647475,45.21478089488477,78.00992120613326,3.071161837046941,49.39058835317563,3.354798741858521,True,0.91545337689782,0.41333333333333333,,12.0,21
Denmark,2020-10-25,5882259.0,32.31326624668687,171.2450742724714,341.5859059936396,2.9112127546997066,34.26579052975103,0.5825277419738069,False,,,,,21
Israel,2020-10-25,9449000.0,281.07128151526206,266.7223372824718,445.9365260601496,2.822757300057909,394.5173654788796,4.175228759433587,True,0.6760724891253254,0.15666666666666668,,,21
Latvia,2020-10-25,1850654.0,5.924582976602139,51.90794537716734,104.00412321340823,2.8048433352299966,5.924582976602139,0.32013455657308926,False,,,,,21
Kuwait,2020-10-25,4268886.0,46.37985723491963,119.14233959064171,212.06511408687132,2.790946855705252,63.08053899285886,1.4776815073735599,True,1.888733696522939,0.9033333333333333,7.0,2.0,21
Puerto Rico,2020-10-25,3252412.0,26.247387358436818,85.29465485013337,156.08778086670952,2.6225046165778925,26.40549986257965,0.8118743831525541,False,,,,,21
Albania,2020-10-25,2842318.0,12.614582800699367,70.96847766075751,139.22093105651842,2.4968521347983414,12.701082941361578,0.44685650730711973,False,,,,,21
Ukraine,2020-10-25,39701744.0,341.6117106068998,969.5101905737752,1728.8209346592744,2.441983885075112,343.6551527938684,0.8655920827907922,False,,,,,21
Costa Rica,2020-10-25,5180836.0,88.14485793235548,126.44512519217918,211.52616071435148,2.4406316894064815,90.488167547894,1.7465939386595906,True,1.3973664029084656,0.7566666666666667,3.0,0.0,21
Moldova,2020-10-25,3272993.0,57.150621939692854,74.08658809429653,124.01461032210666,2.2635730688790514,58.02114058129867,1.7727242490680142,True,1.2768895501198758,0.68,4.0,0.0,21
Colombia,2020-10-25,51874028.0,547.220463287045,1045.3986626927312,1822.7346588741532,2.015264098428468,822.2613859072162,1.5851118904959842,True,1.2713702486944873,0.7033333333333334,11.0,5.0,21
Libya,2020-10-25,6812344.0,58.817133571041865,131.7357095050338,232.90897654936308,1.9337794671706803,59.224806795412036,0.8693748700214204,False,,,,,21
United Arab Emirates,2020-10-25,9441138.0,84.58089915403656,182.42197823478216,318.4146035778978,1.9322032813711882,84.80535224533207,0.8982534970395738,False,,,,,21
Russia,2020-10-25,144713312.0,869.0105571310139,2623.6455251524258,4673.35792780779,1.8129952862611738,870.8156989683116,0.6017523107814101,False,,,,,21
Sri Lanka,2020-10-25,21832150.0,8.08895652660721,382.44604412768354,913.2280292011619,1.7517562133261428,8.08895652660721,0.03705066393647538,False,,,,,21
Djibouti,2020-10-25,1120851.0,0.14417983884294816,19.417376531998876,50.642610603047345,1.732378035260608,9.185829598559952,0.8195406524649532,False,,,,,21
Nepal,2020-10-25,30547586.0,206.97429818385532,524.1702457530155,926.8841430197285,1.715913806586928,206.97429818385532,0.6775471494993265,False,,,,,21
Panama,2020-10-25,4408582.0,51.705735116225995,75.61124430567625,127.15694118443915,1.7150921612817058,80.31826050192845,1.8218615532597204,True,0.9413954414993938,0.42333333333333334,,9.0,21
Tunisia,2020-10-25,12356116.0,90.17945084649594,192.78228962739644,337.34495319242535,1.5602175443108208,90.90188256532399,0.7356833050557633,False,,,,,21
Qatar,2020-10-25,2695131.0,16.333793811541007,41.595049223559215,74.38060445421473,1.5433405360837456,131.31871867898934,4.872442886041136,True,0.3167488202899616,0.0033333333333333335,,,21
Palestine,2020-10-25,5250076.0,36.95809206521227,75.32936806092354,133.87993715623523,1.4348243351319778,58.122722836762286,1.1070834562540102,True,1.2960399028876561,0.72,13.0,7.0,21
Turkey,2020-10-25,85341248.0,640.6776650077531,1191.7560335230492,2075.8438063485887,1.3964595801587636,654.7000075401288,0.7671554176710995,False,,,,,21
Morocco,2020-10-25,37457976.0,200.93840540387262,516.4319143911353,919.2540031855805,1.3786967944854662,202.07153460641726,0.5394619682772429,False,,,,,21
Brazil,2020-10-25,215313504.0,1906.8705564764773,2946.0559619814285,5104.121329338793,1.3682634424924078,3395.9586475246497,1.5772158199258368,True,0.8675182084825561,0.37666666666666665,,14.0,21
Norway,2020-10-25,5434324.0,10.215549158492374,72.05522735322866,145.93075217139054,1.325928070413701,15.541521634700416,0.28598813090092556,False,,,,,21
Honduras,2020-10-25,10432858.0,45.795965792064294,131.02546325399803,238.18341826482228,1.2558923283916836,57.52032129876936,0.5513381021649999,False,,,,,21
Oman,2020-10-25,4576300.0,47.02085184273902,56.98038083292775,92.66116643788386,1.245119000785083,108.37299166962555,2.368135648222921,True,0.5257802701122446,0.03666666666666667,,,21
Peru,2020-10-25,34049588.0,268.99723064568934,413.29033230849393,724.0553644493714,1.213789524585419,603.1881469222056,1.7714991057225293,True,0.6851764816953487,0.20333333333333334,,,21
Paraguay,2020-10-25,6780745.0,59.398991243344426,81.60049126052385,136.1095328984848,1.2034148351032794,60.6561456713294,0.8945351236675233,False,,,,,21
Iraq,2020-10-25,44496124.0,285.6219894082519,526.1261666383648,930.8535974901812,1.18240898159661,332.6001655417989,0.7474812087942736,False,,,,,21
Ecuador,2020-10-25,18001002.0,70.12516605318879,183.62883854951798,334.63045045899634,1.020103428406474,79.11664193610481,0.43951243345289787,False,,,,,21
Estonia,2020-10-25,1326064.0,2.910785762550311,13.234455142069073,26.39612484869691,0.9980253699722693,25.05119670972789,1.8891393409162671,True,0.528296324340061,0.12333333333333334,,,21
Chile,2020-10-25,19603736.0,123.7568880637051,194.59946378926026,338.72357269247124,0.9926651929472029,529.7390716834984,2.7022352865979142,True,0.3673496522935861,0.0033333333333333335,,,21
Iran,2020-10-25,88550568.0,299.0469038252731,875.6547449273339,1575.957118722953,0.9888753564260977,299.9836556785905,0.33877101237633,False,,,,,21
Canada,2020-10-25,38454328.0,151.58354901137326,373.0163708896302,659.4136187043059,0.9700244167304918,152.5080691037612,0.39659533018952037,False,,,,,21
Belarus,2020-10-25,9534956.0,34.03823011773807,80.3035138476619,140.9741999646665,0.8422011999600407,70.59785422190521,0.7404109072124214,False,,,,,21
Mexico,2020-10-25,127504120.0,382.3183483241156,1013.2911589127451,1803.3575457742484,0.7947124837320905,536.5670669310673,0.4208233168709115,False,,,,,21
Malaysia,2020-10-25,33938216.0,30.075452804817505,193.6295441837316,373.6589636039565,0.5705354229100658,30.075452804817505,0.08861824912899813,False,,,,,21
Finland,2020-10-25,5540745.0,14.477379232536883,28.74661667341956,50.536555683112645,0.518822228299977,14.692438836177246,0.2651708179347226,False,,,,,21
Dominican Republic,2020-10-25,11228821.0,37.99119457335114,57.485711319554966,99.97308903356739,0.5119478823249116,101.61493907959475,0.9049475370530418,False,,,,,21
Lesotho,2020-10-25,2305826.0,1.09380327765397,10.827832488428466,24.15387680164694,0.469585844223652,1.7637302991369026,0.07649017311526987,False,,,,,21
Botswana,2020-10-25,2630300.0,7.7628015886458295,11.369003808510561,17.891868520899383,0.4322322095772559,7.7628015886458295,0.295129893496781,False,,,,,21
India,2020-10-25,1417173120.0,5623.72763292572,6096.236730938078,9834.70031028486,0.430168808941146,6861.142683348667,0.48414287474974593,False,,,,,21
