entity,n_days,active_days,peak_daily,neg_days,neg_max_magnitude,gap_runs,gap_longest,fill_runs,fill_longest,dump_days,dump_max_ratio,weekday_amplitude,weekday_p,neg_rate,gap_severity,fill_severity,dump_rate,weekday_amp,heaping,benford_mad,benford_p,benford_verdict,terminal_p,terminal_verdict,pen_neg_rate,pen_gap_severity,pen_fill_severity,pen_dump_rate,pen_weekday_amp,pen_heaping,pen_benford_mad,penalty,reliability_index,worst_component,worst_component_desc
Equatorial Guinea,1142,425,1750.0,1,97.0,33,28,0,0,1,5.181818181818182,1.4305226140543357,0.001996007984031936,0.002352941176470588,28.0,0.0,0.8594117647058823,1.4305226140543357,,0.02956627484572473,0.029020606208857044,nonconformity,,insufficient-data,0.1176470588235294,1.0,0.0,0.14323529411764704,1.0,,0.985542494857491,0.4638727419120323,53.61272580879677,gap_severity,reporting stopped mid-epidemic
Eritrea,1142,340,282.0,0,0.0,9,4,0,0,6,8.545454545454545,1.119655972628119,0.001996007984031936,0.0,4.0,0.0,6.445588235294118,1.119655972628119,,0.04349804418043024,3.44113448806693e-07,nonconformity,,insufficient-data,0.0,0.2857142857142857,0.0,1.0,1.0,,1.0,0.4621848739495798,53.781512605042025,dump_rate,batch releases of withheld cases
Cameroon,1142,839,9668.0,0,0.0,79,18,0,0,11,43.57142857142857,1.1863291891464418,0.003992015968063872,0.0,18.0,0.0,4.788736591179976,1.1863291891464418,0.0,0.02196234004871129,0.03831367182349605,nonconformity,0.10628139236152047,uniform,0.0,1.0,0.0,0.7981227651966627,1.0,0.0,0.7320780016237096,0.4563223148606849,54.3677685139315,gap_severity,reporting stopped mid-epidemic
Seychelles,1142,757,2068.0,3,3.0,49,47,0,0,7,26.75,1.2099157130732516,0.001996007984031936,0.003963011889035667,47.0,0.0,3.3774768824306474,1.2099157130732516,0.0,0.010985089232394997,0.6857524062049263,acceptable,0.5200172087524033,uniform,0.19815059445178335,1.0,0.0,0.5629128137384413,1.0,0.0,0.36616964107983324,0.44237552300511446,55.76244769948855,gap_severity,reporting stopped mid-epidemic
South Sudan,1142,445,503.0,0,0.0,20,11,0,0,6,11.0,1.0074726573503865,0.001996007984031936,0.0,11.0,0.0,4.924719101123595,1.0074726573503865,0.0,0.056473054506741685,1.5024769378030259e-19,nonconformity,0.9296830820478997,uniform,0.0,0.7857142857142857,0.0,0.8207865168539326,1.0,0.0,1.0,0.44097512038523273,55.90248796147672,weekday_amp,cases reported in weekday batches
Gambia,1142,304,587.0,1,100.0,19,11,0,0,2,17.75,0.7138814763751378,0.3872255489021956,0.003289473684210526,11.0,0.0,2.4029605263157894,0.7138814763751378,,0.027003844721615985,0.05495600583272778,nonconformity,,insufficient-data,0.1644736842105263,0.7857142857142857,0.0,0.4004934210526316,0.7138814763751378,,0.9001281573871995,0.4269582613914982,57.304173860850184,gap_severity,reporting stopped mid-epidemic
Iceland,1142,766,7408.0,2,273.0,48,21,1,3,1,6.932307692307693,2.5216155662905555,0.001996007984031936,0.0026109660574412533,21.0,3.0,0.47682767624020883,2.5216155662905555,0.07280219780219782,0.01829742524483206,0.03482077957541715,nonconformity,0.11695690081743355,uniform,0.13054830287206265,1.0,0.21428571428571427,0.07947127937336813,1.0,0.14560439560439564,0.6099141748277354,0.42250957770532094,57.749042229467904,gap_severity,reporting stopped mid-epidemic
United Kingdom,1142,1100,848169.0,3,4787.0,20,5,0,0,27,386.7956989247312,1.4033614148528106,0.001996007984031936,0.0027272727272727275,5.0,0.0,8.965227272727272,1.4033614148528106,0.0,0.024321661245694706,5.673694723384863e-10,nonconformity,0.43644671770741905,uniform,0.13636363636363638,0.35714285714285715,0.0,1.0,1.0,0.0,0.8107220415231569,0.42138025792031375,57.86197420796862,dump_rate,batch releases of withheld cases
Central African Republic,1142,310,4044.0,0,0.0,19,13,0,0,1,7.384615384615385,1.2054057340640205,0.05788423153692615,0.0,13.0,0.0,1.178225806451613,1.2054057340640205,,0.023480044940884428,0.23338938816313035,nonconformity,,insufficient-data,0.0,0.9285714285714286,0.0,0.1963709677419355,1.0,,0.7826681646961476,0.42102913844919054,57.89708615508095,weekday_amp,cases reported in weekday batches
Grenada,1142,320,902.0,1,17.0,16,15,0,0,2,10.5,1.6995099290619213,0.001996007984031936,0.003125,15.0,0.0,2.2828125,1.6995099290619213,0.0,0.018715034182760378,0.46896720095452327,nonconformity,0.7483691589489025,uniform,0.15625,1.0,0.0,0.38046874999999997,1.0,0.0,0.6238344727586793,0.419512036137934,58.048796386206604,gap_severity,reporting stopped mid-epidemic
Bahamas,1142,708,1497.0,1,48.0,19,9,0,0,9,31.333333333333332,1.0324453226650556,0.001996007984031936,0.0014124293785310734,9.0,0.0,4.643008474576271,1.0324453226650556,0.014423076923076907,0.018685159145316894,0.014138339154647746,nonconformity,0.8475078436068171,uniform,0.07062146892655367,0.6428571428571429,0.0,0.7738347457627118,1.0,0.028846153846153813,0.6228386381772298,0.4120969320640735,58.79030679359265,weekday_amp,cases reported in weekday batches
Congo (Kinshasa),1142,960,4481.0,0,0.0,42,16,1,3,6,7.775510204081633,1.1529440710981853,0.001996007984031936,0.0,16.0,3.0,2.2828125,1.1529440710981853,0.0,0.01347857485845107,0.19076605385337497,marginal,0.6404247570988872,uniform,0.0,1.0,0.21428571428571427,0.38046874999999997,1.0,0.0,0.4492858286150357,0.4116774610736089,58.83225389263911,gap_severity,reporting stopped mid-epidemic
Saint Lucia,1142,552,722.0,0,0.0,11,16,0,0,8,35.36363636363637,0.5339535920317929,0.029940119760479042,0.0,16.0,0.0,5.293478260869565,0.5339535920317929,0.0,0.027194437098401344,0.001211280206455151,nonconformity,0.9766634993129775,uniform,0.0,1.0,0.0,0.8822463768115942,0.5339535920317929,0.0,0.9064812366133782,0.40775405715717694,59.224594284282304,gap_severity,reporting stopped mid-epidemic
Samoa,1142,191,1166.0,0,0.0,15,15,0,0,0,0.0,1.588674564733474,0.013972055888223553,0.0,15.0,0.0,0.0,1.588674564733474,,0.027244138292531344,0.32346534372327085,nonconformity,,insufficient-data,0.0,1.0,0.0,0.0,1.0,,0.9081379430843781,0.4063610554755516,59.36389445244483,gap_severity,reporting stopped mid-epidemic
Benin,1142,446,2566.0,1,209.0,54,20,0,0,0,0.0,3.1204564802053643,0.001996007984031936,0.002242152466367713,20.0,0.0,0.0,3.1204564802053643,,0.01363117416486134,0.7850688966843131,marginal,,insufficient-data,0.11210762331838564,1.0,0.0,0.0,1.0,,0.4543724721620447,0.40604723326091685,59.39527667390831,gap_severity,reporting stopped mid-epidemic
Ghana,1142,900,2521.0,0,0.0,42,15,0,0,18,41.6,0.5429218528916065,0.02594810379241517,0.0,15.0,0.0,7.305,0.5429218528916065,0.009562841530054642,0.012878166417909613,0.3408847977358986,marginal,0.10249232811422043,uniform,0.0,1.0,0.0,1.0,0.5429218528916065,0.019125683060109283,0.42927221393032045,0.4057707410892734,59.42292589107265,gap_severity,reporting stopped mid-epidemic
Nicaragua,1142,384,516.0,0,0.0,54,13,0,0,0,0.0,6.036370407149951,0.001996007984031936,0.0,13.0,0.0,0.0,6.036370407149951,,0.0430242860228023,8.68107059222397e-06,nonconformity,,insufficient-data,0.0,0.9285714285714286,0.0,0.0,1.0,,1.0,0.39915966386554613,60.084033613445385,weekday_amp,cases reported in weekday batches
Mexico,1142,1083,109895.0,5,400.0,20,7,0,0,23,236.21153846153845,0.5533363708796881,0.001996007984031936,0.0046168051708217915,7.0,0.0,7.7569252077562325,0.5533363708796881,0.0,0.02691477100476463,2.3050547393012735e-12,nonconformity,0.8466206126336003,uniform,0.23084025854108958,0.5,0.0,1.0,0.5533363708796881,0.0,0.8971590334921544,0.39902645901477884,60.09735409852212,dump_rate,batch releases of withheld cases
Brunei,1142,571,7380.0,1,18.0,31,15,0,0,2,181.08,1.4842367328784365,0.001996007984031936,0.0017513134851138354,15.0,0.0,1.2793345008756567,1.4842367328784365,0.052579365079365066,0.019647626525125014,0.1257500875024416,nonconformity,0.5421637308683493,uniform,0.08756567425569177,1.0,0.0,0.21322241681260945,1.0,0.10515873015873013,0.6549208841708338,0.39801635110538097,60.19836488946191,gap_severity,reporting stopped mid-epidemic
Tanzania,1142,425,24307.0,0,0.0,44,43,0,0,0,0.0,2.404938008376159,0.001996007984031936,0.0,43.0,0.0,0.0,2.404938008376159,,0.02143683237134931,0.8902615616073175,nonconformity,,insufficient-data,0.0,1.0,0.0,0.0,1.0,,0.714561079044977,0.39497418112029276,60.50258188797073,gap_severity,reporting stopped mid-epidemic
Mongolia,1142,801,24556.0,1,1417.0,29,11,1,3,11,12.576470588235294,0.6065136120806657,0.001996007984031936,0.0012484394506866417,11.0,3.0,5.015917602996255,0.6065136120806657,0.0,0.007705185245872782,0.6898506320648246,acceptable,0.7426080995657058,uniform,0.062421972534332085,0.7857142857142857,0.21428571428571427,0.8359862671660424,0.6065136120806657,0.0,0.2568395081957594,0.3917013518036606,60.82986481963394,dump_rate,batch releases of withheld cases
Burkina Faso,1142,487,1005.0,0,0.0,11,19,1,4,0,0.0,0.9771124105170711,0.001996007984031936,0.0,19.0,4.0,0.0,0.9771124105170711,0.0,0.04867875070522309,1.2091466682172514e-15,nonconformity,0.7674540124582246,uniform,0.0,1.0,0.2857142857142857,0.0,0.9771124105170711,0.0,1.0,0.3894240044347035,61.05759955652965,gap_severity,reporting stopped mid-epidemic
Tonga,1142,242,832.0,0,0.0,17,13,0,0,2,5.818181818181818,0.8513794239682482,0.5249500998003992,0.0,13.0,0.0,3.018595041322314,0.8513794239682482,0.0,0.02752901262174415,0.49189610408695694,nonconformity,0.3288610180797954,uniform,0.0,0.9285714285714286,0.0,0.503099173553719,0.8513794239682482,0.0,0.9176337540581384,0.38833919161691627,61.16608083830837,gap_severity,reporting stopped mid-epidemic
Namibia,1142,831,4210.0,2,621.0,13,15,0,0,10,17.85,0.45570811326949456,0.005988023952095809,0.0024067388688327317,15.0,0.0,4.395306859205776,0.45570811326949456,0.029947916666666664,0.014782991549450543,0.04989076904042185,marginal,0.4947995600298367,uniform,0.12033694344163659,1.0,0.0,0.7325511432009626,0.45570811326949456,0.05989583333333333,0.4927663849816848,0.38592897140798005,61.40710285920199,gap_severity,reporting stopped mid-epidemic
Guinea,1142,683,534.0,0,0.0,16,21,0,0,9,11.76923076923077,0.6051773382471967,0.001996007984031936,0.0,21.0,0.0,4.812957540263543,0.6051773382471967,0.012605042016806713,0.01246507125223331,0.30136472258362007,marginal,0.31185668976163194,uniform,0.0,1.0,0.0,0.8021595900439239,0.6051773382471967,0.025210084033613425,0.4155023750744437,0.38565717060243226,61.43428293975677,gap_severity,reporting stopped mid-epidemic
Liechtenstein,1142,484,349.0,2,3.0,13,5,1,3,3,6.290322580645161,1.1947474137226837,0.001996007984031936,0.004132231404958678,5.0,3.0,2.2639462809917354,1.1947474137226837,0.0,0.038679869257136054,1.6788404929239274e-09,nonconformity,0.21629271489818191,uniform,0.2066115702479339,0.35714285714285715,0.21428571428571427,0.37732438016528924,1.0,0.0,1.0,0.3836352567886659,61.63647432113342,weekday_amp,cases reported in weekday batches
Ecuador,1142,1085,17670.0,5,7953.0,45,16,0,0,4,12.733333333333333,0.7403498777325718,0.001996007984031936,0.004608294930875576,16.0,0.0,1.3465437788018433,0.7403498777325718,0.0,0.02144407357412689,6.748488363223097e-09,nonconformity,0.3202547220118591,uniform,0.2304147465437788,1.0,0.0,0.22442396313364055,0.7403498777325718,0.0,0.7148024524708964,0.3765391480622324,62.34608519377676,gap_severity,reporting stopped mid-epidemic
Ireland,1142,1087,43199.0,4,5532.0,45,13,0,0,1,5.506132461161079,1.9628858840343324,0.001996007984031936,0.0036798528058877645,13.0,0.0,0.3360165593376265,1.9628858840343324,0.0,0.02423568013561666,2.1705380297855252e-07,nonconformity,0.38020813229832257,uniform,0.18399264029438822,0.9285714285714286,0.0,0.05600275988960441,1.0,0.0,0.8078560045205554,0.37487745655406035,62.51225434459396,weekday_amp,cases reported in weekday batches
Honduras,1142,1068,12890.0,1,20.0,59,19,0,0,6,14.393258426966293,0.7177471182955037,0.003992015968063872,0.0009363295880149813,19.0,0.0,2.0519662921348316,0.7177471182955037,0.030249110320284683,0.02797100336388582,8.657306253766846e-10,nonconformity,0.5341462169096917,uniform,0.04681647940074906,1.0,0.0,0.34199438202247195,0.7177471182955037,0.06049822064056937,0.932366778796194,0.37401759296374126,62.598240703625876,gap_severity,reporting stopped mid-epidemic
Yemen,1142,328,287.0,1,1.0,1,4,1,4,3,11.48,0.46763658072622627,0.001996007984031936,0.003048780487804878,4.0,4.0,3.3407012195121952,0.46763658072622627,,0.028454181088980297,0.0028355448419508334,nonconformity,,insufficient-data,0.1524390243902439,0.2857142857142857,0.2857142857142857,0.5567835365853658,0.46763658072622627,,0.9484727029660099,0.3732808745145573,62.67191254854427,dump_rate,batch releases of withheld cases
Costa Rica,1142,1032,55406.0,0,0.0,57,48,0,0,1,5.636363636363637,2.091897842343526,0.001996007984031936,0.0,48.0,0.0,0.3539244186046511,2.091897842343526,0.062499999999999986,0.02533981950182526,8.475726443416966e-06,nonconformity,0.015537072918201448,uniform,0.0,1.0,0.0,0.05898740310077519,1.0,0.12499999999999997,0.8446606500608421,0.3698311429681584,63.01688570318416,gap_severity,reporting stopped mid-epidemic
Zimbabwe,1142,969,9185.0,1,6.0,12,34,0,0,4,11.525,0.8911091755926025,0.001996007984031936,0.0010319917440660474,34.0,0.0,1.5077399380804954,0.8911091755926025,0.03490028490028489,0.013421288552520063,0.07758461795120832,marginal,0.5980273682946111,uniform,0.05159958720330237,1.0,0.0,0.2512899896800826,0.8911091755926025,0.06980056980056978,0.4473762850840021,0.3645186919558488,63.54813080441512,gap_severity,reporting stopped mid-epidemic
Georgia,1142,958,26524.0,0,0.0,32,42,1,3,0,0.0,1.134274413246897,0.001996007984031936,0.0,42.0,3.0,0.0,1.134274413246897,0.0012057877813504564,0.017599433952530046,9.67158247526257e-05,nonconformity,0.48636330199921896,uniform,0.0,1.0,0.21428571428571427,0.0,1.0,0.0024115755627009128,0.5866477984176682,0.36183698339814563,63.81630166018544,gap_severity,reporting stopped mid-epidemic
Andorra,1142,756,2313.0,0,0.0,43,13,0,0,3,5.75,2.1655891667934193,0.001996007984031936,0.0,13.0,0.0,1.4494047619047619,2.1655891667934193,0.0,0.019009795202242864,0.0038566445438448847,nonconformity,0.8577226181899533,uniform,0.0,0.9285714285714286,0.0,0.24156746031746032,1.0,0.0,0.6336598400747622,0.35720382533707146,64.27961746629285,weekday_amp,cases reported in weekday batches
Luxembourg,1142,1019,5497.0,1,1348.0,20,12,0,0,3,23.133333333333333,1.2971195676108191,0.001996007984031936,0.0009813542688910696,12.0,0.0,1.0753189401373895,1.2971195676108191,0.027509652509652496,0.019339254002315162,0.0005048059211082804,nonconformity,0.571093668446278,uniform,0.049067713444553476,0.8571428571428571,0.0,0.17921982335623157,1.0,0.05501930501930499,0.6446418000771721,0.3557529305205283,64.42470694794717,weekday_amp,cases reported in weekday batches
Chad,1142,239,596.0,0,0.0,7,28,0,0,0,0.0,0.6689725390661838,0.2874251497005988,0.0,28.0,0.0,0.0,0.6689725390661838,,0.06007855394557445,6.9557397981856624e-12,nonconformity,,insufficient-data,0.0,1.0,0.0,0.0,0.6689725390661838,,1.0,0.3533480951293265,64.66519048706735,gap_severity,reporting stopped mid-epidemic
Finland,1142,1050,50889.0,0,0.0,45,20,0,0,3,17.63978494623656,2.4792002447272234,0.001996007984031936,0.0,20.0,0.0,1.0435714285714286,2.4792002447272234,0.019814502529510933,0.0123953961619238,0.056596592673075756,marginal,0.5724414966487026,uniform,0.0,1.0,0.0,0.17392857142857143,1.0,0.039629005059021866,0.4131798720641267,0.3526926300763453,64.73073699236546,gap_severity,reporting stopped mid-epidemic
Maldives,1142,893,2838.0,0,0.0,29,14,0,0,0,0.0,1.315450386739749,0.001996007984031936,0.0,14.0,0.0,0.0,1.315450386739749,0.008084577114427852,0.03695910267804572,1.241804187555897e-16,nonconformity,0.9909867034716922,uniform,0.0,1.0,0.0,0.0,1.0,0.016169154228855703,1.0,0.3524253731343283,64.75746268656717,gap_severity,reporting stopped mid-epidemic
Australia,1142,1022,175271.0,3,26856.0,8,5,1,3,4,21.472760290556902,0.9827775726084038,0.001996007984031936,0.0029354207436399216,5.0,3.0,1.4295499021526419,0.9827775726084038,0.006259780907668204,0.03261400827543856,1.5804350198970665e-19,nonconformity,0.4008688482487967,uniform,0.14677103718199608,0.35714285714285715,0.21428571428571427,0.2382583170254403,0.9827775726084038,0.012519561815336408,1.0,0.350101810868062,64.9898189131938,weekday_amp,cases reported in weekday batches
Uruguay,1142,988,13612.0,1,21.0,46,11,1,3,0,0.0,1.5484269192723052,0.001996007984031936,0.0010121457489878543,11.0,3.0,0.0,1.5484269192723052,0.0,0.02331757562671366,1.3162749122937706e-05,nonconformity,0.6545313420427934,uniform,0.05060728744939271,0.7857142857142857,0.21428571428571427,0.0,1.0,0.0,0.7772525208904554,0.3489840835344013,65.10159164655987,weekday_amp,cases reported in weekday batches
Paraguay,1142,1033,59361.0,0,0.0,53,10,0,0,7,8.25,1.7229716907797883,0.001996007984031936,0.0,10.0,0.0,2.4750726040658275,1.7229716907797883,0.0,0.017973707141755543,0.00037376618828833516,nonconformity,0.2495239548832181,uniform,0.0,0.7142857142857143,0.0,0.41251210067763794,1.0,0.0,0.5991235713918515,0.3489758508140954,65.10241491859045,weekday_amp,cases reported in weekday batches
Gabon,1142,626,1871.0,0,0.0,20,11,0,0,1,6.4772727272727275,1.8285593151011066,0.001996007984031936,0.0,11.0,0.0,0.5834664536741214,1.8285593151011066,0.06456953642384106,0.02824821159682674,0.00044651960927946774,nonconformity,0.3729105042963263,uniform,0.0,0.7857142857142857,0.0,0.09724440894568691,1.0,0.1291390728476821,0.941607053227558,0.3488950177875261,65.1104982212474,weekday_amp,cases reported in weekday batches
Malawi,1142,591,1316.0,2,26.0,2,12,1,4,2,6.363636363636363,0.5514077079209547,0.001996007984031936,0.00338409475465313,12.0,4.0,1.236040609137056,0.5514077079209547,0.0,0.017966613282909154,0.0012000051702030783,nonconformity,0.9067776266214533,uniform,0.1692047377326565,0.8571428571428571,0.2857142857142857,0.20600676818950933,0.5514077079209547,0.0,0.5988871094303051,0.34882604586318755,65.11739541368125,gap_severity,reporting stopped mid-epidemic
Slovakia,1142,1010,33633.0,2,3528.0,3,40,0,0,2,8.742765273311898,1.1935493204967005,0.001996007984031936,0.0019801980198019802,40.0,0.0,0.7232673267326732,1.1935493204967005,0.0,0.006010245357160693,0.7937847975301018,acceptable,0.0723411545390146,uniform,0.09900990099009901,1.0,0.0,0.12054455445544554,1.0,0.0,0.20034151190535646,0.3479007389616044,65.20992610383955,gap_severity,reporting stopped mid-epidemic
Dominica,1142,335,895.0,1,34.0,31,8,0,0,2,6.333333333333333,1.3267554826925723,0.011976047904191617,0.0029850746268656717,8.0,0.0,2.180597014925373,1.3267554826925723,0.013157894736842077,0.012574566937674829,0.8837788962419472,marginal,0.5608683293167831,uniform,0.14925373134328357,0.5714285714285714,0.0,0.36343283582089553,1.0,0.026315789473684154,0.4191522312558276,0.34498493733992075,65.50150626600792,weekday_amp,cases reported in weekday batches
Colombia,1142,1081,35575.0,0,0.0,44,14,0,0,0,0.0,1.6182918887652602,0.001996007984031936,0.0,14.0,0.0,0.0,1.6182918887652602,0.01562499999999998,0.023507036298527753,2.7911096337196483e-08,nonconformity,0.709557963164526,uniform,0.0,1.0,0.0,0.0,1.0,0.03124999999999996,0.7835678766175918,0.3438658938308796,65.61341061691203,gap_severity,reporting stopped mid-epidemic
West Bank and Gaza,1142,836,30356.0,0,0.0,33,19,0,0,2,5.412371134020619,1.3837003018119585,0.001996007984031936,0.0,19.0,0.0,0.8738038277511961,1.3837003018119585,0.0,0.012559784410848311,0.11501561171193479,marginal,0.6777296750293227,uniform,0.0,1.0,0.0,0.14563397129186603,1.0,0.0,0.4186594803616104,0.3427780697118604,65.72219302881396,gap_severity,reporting stopped mid-epidemic
Congo (Brazzaville),1142,678,1188.0,1,302.0,83,18,0,0,0,0.0,1.6991725339842274,0.001996007984031936,0.0014749262536873156,18.0,0.0,0.0,1.6991725339842274,0.0,0.016746525224610505,0.4527362361571008,nonconformity,0.6088643076399254,uniform,0.07374631268436578,1.0,0.0,0.0,1.0,0.0,0.5582175074870168,0.342660137911224,65.73398620887761,gap_severity,reporting stopped mid-epidemic
New Zealand,1142,604,42699.0,4,2.0,12,6,0,0,1,5.451643340147822,1.5061934563293873,0.001996007984031936,0.006622516556291391,6.0,0.0,0.6047185430463576,1.5061934563293873,0.0,0.02650032979597192,5.923278610042211e-05,nonconformity,0.3192918603043531,uniform,0.3311258278145695,0.42857142857142855,0.0,0.10078642384105961,1.0,0.0,0.8833443265323974,0.339796059751407,66.02039402485931,weekday_amp,cases reported in weekday batches
Hungary,1142,1050,45047.0,0,0.0,48,13,2,3,0,0.0,2.239314754628337,0.001996007984031936,0.0,13.0,3.0,0.0,2.239314754628337,0.013783269961977172,0.008423905142267034,0.4232160693660071,acceptable,0.4079912237732805,uniform,0.0,0.9285714285714286,0.21428571428571427,0.0,1.0,0.027566539923954345,0.2807968380755678,0.33960339432094294,66.03966056790571,weekday_amp,cases reported in weekday batches
Botswana,1142,887,41576.0,1,1960.0,119,32,0,0,0,0.0,4.134603765250241,0.001996007984031936,0.0011273957158962795,32.0,0.0,0.0,4.134603765250241,0.007936507936507908,0.013110278935124658,0.8893481981228107,marginal,0.4237128281381097,uniform,0.05636978579481398,1.0,0.0,0.0,1.0,0.015873015873015817,0.4370092978374886,0.33550537443178957,66.44946255682105,gap_severity,reporting stopped mid-epidemic
Angola,1142,806,5035.0,0,0.0,13,34,0,0,2,5.582039911308204,0.7231585899511779,0.001996007984031936,0.0,34.0,0.0,0.9063275434243175,0.7231585899511779,0.07423208191126275,0.018609994841184765,0.001983631709535176,nonconformity,0.07812694723284842,uniform,0.0,1.0,0.0,0.1510545905707196,0.7231585899511779,0.1484641638225255,0.6203331613728256,0.33441825972030476,66.55817402796953,gap_severity,reporting stopped mid-epidemic
